               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12437,            0.036717,            0.031341,           0.0010551,             0.12821,           0.0008478,          0.00019925,             0.12213,            0.026144,            0.027059,              0.0955,              0.0005,              0.0005
                   1,              0.1207,            0.034586,            0.026642,          0.00030738,            0.038462,          0.00018948,          5.6543e-05,             0.11775,            0.023699,             0.02509,            0.090089,           0.0010891,           0.0010891
                   2,              0.1128,            0.029319,            0.023032,          0.00035224,            0.051282,          0.00080007,          0.00015238,             0.11514,            0.023035,            0.023498,            0.084666,           0.0016663,           0.0016663
                   3,             0.11077,            0.028609,             0.02172,          0.00073916,             0.11538,           0.0018772,          0.00038664,             0.11071,            0.021581,            0.021262,            0.079232,           0.0022317,           0.0022317
                   4,             0.10559,            0.028519,            0.017087,          0.00098724,             0.16667,           0.0012687,          0.00027177,             0.10518,            0.021411,            0.017817,            0.073785,           0.0027852,           0.0027852
                   5,            0.098302,            0.025391,            0.012436,          0.00086543,             0.15385,           0.0011916,          0.00032328,             0.10653,            0.019583,            0.016472,            0.068327,           0.0033267,           0.0033267
                   6,             0.09526,             0.02764,            0.011363,           0.0011157,             0.19231,           0.0016138,          0.00044638,              0.1038,            0.019288,            0.014526,            0.062856,           0.0038565,           0.0038565
                   7,            0.085234,            0.027724,           0.0073839,             0.50422,            0.038462,           0.0018577,          0.00048723,             0.10356,            0.019437,             0.01438,            0.057374,           0.0043743,           0.0043743
                   8,            0.082351,            0.029082,           0.0062165,             0.50176,            0.012821,           0.0015251,          0.00044172,            0.099168,            0.020431,             0.01334,             0.05188,           0.0048802,           0.0048802
                   9,            0.086496,             0.02262,           0.0049271,           0.0028687,             0.12821,           0.0016739,          0.00036727,            0.098659,            0.017579,            0.010883,            0.046374,           0.0053743,           0.0053743
                  10,            0.091973,            0.023488,           0.0064079,             0.51582,             0.14103,            0.012612,           0.0031114,            0.093682,            0.016464,           0.0082974,            0.040857,           0.0058565,           0.0058565
                  11,            0.085842,            0.025432,           0.0062658,             0.58777,             0.16667,            0.066638,            0.019356,            0.079559,            0.017878,           0.0067752,            0.035327,           0.0063268,           0.0063268
                  12,             0.07427,            0.025028,           0.0051304,             0.57228,             0.10256,            0.050257,            0.011815,            0.082069,            0.017605,           0.0058791,            0.029785,           0.0067852,           0.0067852
                  13,            0.085615,            0.022271,           0.0046875,             0.55691,             0.23077,            0.045162,            0.015361,            0.080392,            0.018241,           0.0061068,            0.024232,           0.0072318,           0.0072318
                  14,            0.080751,            0.021923,           0.0044865,             0.64241,             0.20425,             0.13177,            0.032909,            0.087088,            0.016551,           0.0064519,            0.018666,           0.0076665,           0.0076665
                  15,             0.08296,            0.020318,           0.0057431,             0.56997,             0.10256,            0.049142,            0.015034,            0.083269,            0.018593,           0.0067289,            0.013089,           0.0080892,           0.0080892
                  16,            0.076123,            0.021884,           0.0049042,             0.57586,             0.12821,            0.044143,           0.0097553,            0.091381,            0.016995,           0.0080102,            0.008416,            0.008416,            0.008416
                  17,            0.078657,            0.020813,           0.0060185,             0.73803,             0.23077,              0.1874,            0.053218,            0.076001,            0.017291,           0.0069224,            0.008416,            0.008416,            0.008416
                  18,            0.072173,            0.021372,           0.0048654,             0.58314,             0.30769,             0.10433,            0.037693,            0.074704,            0.016212,           0.0057374,            0.008317,            0.008317,            0.008317
                  19,            0.066484,            0.021518,           0.0053044,             0.61539,             0.21795,             0.10782,             0.03803,            0.077272,            0.016783,            0.016307,            0.008218,            0.008218,            0.008218
                  20,            0.071875,            0.019095,           0.0034483,              0.6123,             0.19231,            0.095687,             0.03416,            0.086329,            0.016036,            0.012943,            0.008119,            0.008119,            0.008119
                  21,            0.080775,            0.019341,           0.0031254,              0.6484,             0.21795,              0.1797,            0.059865,              0.0786,            0.017897,           0.0086361,             0.00802,             0.00802,             0.00802
                  22,            0.074651,            0.020749,            0.003547,             0.64881,             0.11538,             0.16563,            0.037331,            0.081352,            0.016586,            0.011108,            0.007921,            0.007921,            0.007921
                  23,            0.073052,             0.02042,           0.0040583,             0.74179,             0.30769,             0.30321,             0.11523,            0.066643,            0.018248,           0.0063314,            0.007822,            0.007822,            0.007822
                  24,            0.061352,            0.022008,           0.0037491,              0.7916,             0.29487,             0.31965,             0.13413,            0.062179,            0.017887,           0.0066701,            0.007723,            0.007723,            0.007723
                  25,            0.058488,            0.021629,           0.0039643,             0.72796,             0.37605,             0.32088,            0.098515,            0.068943,            0.015434,           0.0048761,            0.007624,            0.007624,            0.007624
                  26,             0.06505,            0.019643,           0.0030911,             0.69817,             0.25641,             0.27006,             0.09808,            0.070712,            0.012956,           0.0048165,            0.007525,            0.007525,            0.007525
                  27,            0.063408,            0.020624,           0.0031711,             0.22711,             0.53419,             0.34094,             0.13381,            0.061579,            0.013603,           0.0051259,            0.007426,            0.007426,            0.007426
                  28,            0.057337,            0.018496,           0.0032742,              0.7501,             0.25641,             0.28629,             0.10542,            0.065941,             0.01342,           0.0055471,            0.007327,            0.007327,            0.007327
                  29,            0.055866,            0.020936,           0.0022599,             0.23752,             0.58547,             0.34052,             0.14461,            0.061343,            0.014824,           0.0050304,            0.007228,            0.007228,            0.007228
                  30,            0.061993,            0.019716,           0.0024851,             0.43585,             0.50376,              0.3874,             0.11504,            0.068124,            0.013314,           0.0030886,            0.007129,            0.007129,            0.007129
                  31,              0.0638,            0.017053,           0.0021274,             0.28263,             0.55983,             0.49395,             0.17643,            0.056343,            0.014488,           0.0039168,             0.00703,             0.00703,             0.00703
                  32,            0.056291,            0.018659,           0.0036047,             0.30377,              0.7265,             0.45873,             0.14032,            0.062971,             0.01352,           0.0048716,            0.006931,            0.006931,            0.006931
                  33,            0.059384,            0.018035,           0.0025895,             0.28753,             0.42735,             0.38349,             0.15227,            0.056764,            0.014146,            0.002229,            0.006832,            0.006832,            0.006832
                  34,            0.056185,            0.018382,           0.0016029,             0.40786,             0.54901,             0.46561,             0.17305,            0.052677,            0.013684,           0.0018348,            0.006733,            0.006733,            0.006733
                  35,            0.049117,            0.017449,           0.0023186,             0.59444,             0.73932,             0.65126,             0.27162,            0.046818,            0.013288,           0.0020339,            0.006634,            0.006634,            0.006634
                  36,            0.050147,            0.018341,           0.0015222,             0.47084,             0.78834,              0.6576,              0.2361,            0.059614,            0.014156,           0.0022034,            0.006535,            0.006535,            0.006535
                  37,            0.052204,            0.016042,            0.001616,             0.27215,             0.85043,             0.50339,             0.20931,            0.055004,            0.012633,           0.0024511,            0.006436,            0.006436,            0.006436
