               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11375,            0.041011,                   0,           0.0034182,             0.25455,           0.0032032,          0.00083676,             0.10406,             0.02629,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.093523,            0.040564,                   0,             0.15278,             0.14242,            0.075612,            0.019673,            0.086857,            0.026929,                   0,            0.046783,           0.0057832,           0.0057832
                   2,            0.080056,            0.038673,                   0,             0.14835,              0.2303,            0.079675,            0.024101,            0.092525,            0.027026,                   0,            0.019548,           0.0085476,           0.0085476
                   3,            0.076839,            0.035202,                   0,             0.20967,             0.31212,              0.1388,            0.044727,            0.071173,            0.028043,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.067932,             0.03844,                   0,             0.32561,             0.38182,             0.28102,             0.10131,            0.065549,            0.032481,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.059315,            0.034395,                   0,             0.49616,             0.47879,             0.45068,             0.17538,            0.055268,            0.025255,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.055674,            0.032002,                   0,             0.45681,             0.44848,             0.38673,             0.14751,            0.059083,             0.02378,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.052688,            0.032472,                   0,             0.63943,             0.53202,             0.55856,             0.22843,            0.054188,            0.022465,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049882,            0.032591,                   0,             0.62497,             0.47974,             0.53536,             0.23524,            0.053697,            0.023469,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.047959,            0.030265,                   0,             0.57561,             0.51377,              0.5318,             0.25149,            0.047716,            0.024726,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045611,            0.031914,                   0,             0.68131,             0.51825,             0.58496,             0.24946,            0.050955,            0.021946,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045414,            0.032276,                   0,             0.69611,             0.60389,             0.66048,             0.32919,            0.044916,            0.020998,                   0,             0.00802,             0.00802,             0.00802
